,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
374,17160,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,<unknown> <unknown> walked in on,innocent <unknown> <unknown> walked in on his aunt as she was sending messages to her,agree,agree
375,17193,boy <number> given <number> <unknown> for missing friend 's birthday party    ,was a joke but the,mr <unknown> said he originally thought it was a joke but the issue has remained,agree,agree
376,17225,a justin bieber <unknown> just saved a mans life who was being attacked by a,that sort of <unknown> isnt,i know that sort of <unknown> isnt to everyones taste but my granddaughter loaded it,agree,agree
377,17237,office sandwich <unknown> is caught after hilarious note war reaches <unknown> <unknown>   ,sandwich it 's safe for,dear turkey and swiss on <unknown> i have your precious sandwich it 's safe for,agree,agree
378,17310,<unknown> is better not together company to split into <unknown> and <unknown> businesses  ,ebay <unknown> in tech have,a number of big companies including ebay inc ebay <unknown> in tech have chosen to,agree,agree
379,17311,i never intended to kill his penis i was just angry <unknown> acid attack girl,happened in a <unknown> of,everything happened in a <unknown> of an eye because i saw her when she was,agree,agree
380,17364,<unknown> choosing nevada for battery factory         ,is no word if the,there is no word if the factory will be built in northern or southern nevada,agree,agree
381,17471,<unknown> blasts fake report alleging she was abused by bill <unknown> keep me out of,taken advantage of by <unknown>,<unknown> finally responded wednesday afternoon saying she was not taken advantage of by <unknown> and,agree,agree
382,17529,cruel aunt cuts her <unknown> nephew 's penis off because he burst in on her,<unknown> <unknown> had <unknown> and,<unknown> <unknown> had <unknown> and was lying in a pool of blood   ,agree,agree
383,17543,people actually believed <unknown> president adopted a jewish boy to stop his change into a,president has said that <unknown>,the president has said that <unknown> is the first jewish boy to take part in,disagree,disagree
384,17546,even though you 're gay i will always treat you the same way as i,a letter written by a,a letter written by a <unknown> girl student in support of her teacher who came,agree,agree
385,17568,us confirms authenticity of second journalist beheading video       ,shirley <unknown> released a video,last week <unknown> 's mother shirley <unknown> released a video pleading with isis leader abu,agree,agree
386,17598,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,the cat alive but in,five days later neighbors found the cat alive but in terrible condition wandering through their,agree,agree
387,17628,adopting potential <unknown> is routine business for argentine presidents      ,    ,              ,agree,agree
388,17696,<unknown> teen dies by suicide leaves <unknown> note there 's no way out  ,<unknown> died around <number> am,<unknown> died around <number> am sunday after she was hit by a <unknown> trailer near,agree,agree
389,17706,bieber <unknown> <unknown> bear saves man 's life       ,<unknown> cinema against aids <unknown>,justin bieber at <unknown> 's <unknown> cinema against aids <unknown> photo getty   ,agree,agree
390,17742,boy <number> billed with no show fee for missing friend 's birthday party  ,he would be taken to,alex 's father derek said he had been told he would be taken to the,agree,agree
391,17754,parents billed <number> for a <unknown> fee after five-year-old son misses birthday party  ,or an address to let,we did not have a contact number email or an address to let the boys,agree,agree
392,17800,man kicked off flight thanks to his burning hatred for christmas    ,<unknown> before <unknown> the attendants,dont say merry christmas the man <unknown> before <unknown> the attendants and the pilot about,agree,agree
393,17810,miracle cat <unknown> from the dead five days after burial     ,owner who thought he was,a young cat in florida was buried alive by its owner who thought he was,agree,agree
394,17817,woman cuts off husband 's penis twice then throws it out the window  ,aware of what happened was,the first we were aware of what happened was when someone came into the <unknown>,agree,agree
395,17824,cruel aunt cuts off <unknown> <unknown> penis after he walks in on her using the,sister his aunt had gone,my sister his aunt had gone         ,agree,agree
396,17890,passenger headed to dallas rages over merry christmas removed from plane    ,<unknown>    ,bah <unknown>             ,agree,agree
397,17955,<unknown> cat named <unknown> to get gender <unknown>       ,a <unknown> stray cat that,a <unknown> stray cat that was taken in by a family in canada is set,agree,agree
398,18002,saudi <unknown> religious police <unknown> <unknown> eyes        ,a three year old news,so it is a three year old news now circulating as new this results in,disagree,disagree
399,18022,this <unknown> cat returned home five days after being buried by its owner  ,broken <unknown> and a ruined,<unknown> needed treatment for facial wounds a broken <unknown> and a ruined eye but his,agree,agree
400,18154,canadian cat <unknown> to undergo gender <unknown> surgery after it is revealed to be a,<unknown> <unknown> and her <unknown>,<unknown> was adopted by <unknown> <unknown> and her <unknown> live in heart 's desire newfoundland,agree,agree
401,18192,pregnant woman loses eye during ferguson riots after officer shoots bean bag round at car,and very disappointed with the,i 'm very upset and very disappointed with the tactics that they used <unknown> 's,agree,agree
402,18207,indian bride <unknown> wedding guest after husband has <unknown> seizure during ceremony   ,of india reported that <unknown>,the times of india reported that <unknown> requested that <unknown> reconsider her decision for fear,agree,agree
403,18231,angry indian bride <unknown> wedding guest         ,opted to marry a guest,a wedding <unknown> was sparked when a bride opted to marry a guest instead after,agree,agree
404,18283,robot vacuum cleaner <unknown> woman          ,likelihood of this type accident,the likelihood of this type accident occurring is undoubtedly more significant in countries with a,agree,agree
405,18348,pregnant ferguson woman loses her eye after police shoot her car with bean bag during,    ,              ,agree,agree
406,18448,tv show tricks chronic <unknown> into harassing their own mothers     ,    ,              ,agree,agree
407,18479,school pupil writes moving letter to her teacher after he comes out as gay ,to come out to his,the teacher known as mr r decided to come out to his class after learning,agree,agree
408,18500,scorpion <unknown> woman on <unknown> plane         ,    ,              ,agree,agree
409,18543,woman <unknown> by scorpion on alaska airlines flight       ,among the <number> passengers were,among the <number> passengers were players and coaches for the oregon state university <unknown> basketball,agree,agree
410,18557,argentine president takes on <unknown> but not to keep <unknown> at bay   ,that this argentinian custom was,over the last few days sources have been reporting that this argentinian custom was adopted,agree,agree
411,18660,people actually believed <unknown> president adopted a jewish boy to stop his change into a,local myth of the <unknown>,the local myth of the <unknown> is not in any way connected to the custom,agree,agree
412,18689,indian bride <unknown> wedding guest after husband has <unknown> seizure during ceremony   ,extended his arms to do,just as he extended his arms to do that <unknown> had an <unknown> fit falling,agree,agree
413,18724,angry aunt who sliced off <unknown> <unknown> penis facing five years in jail  ,of giving him the phone,instead of giving him the phone the aunt went into the kitchen picked up a,agree,agree
414,18729,woman pays <number> for third <unknown> to make herself less attractive to men  ,<unknown> a <unknown> massage <unknown>,<unknown> <unknown> a <unknown> massage <unknown> has had an operation to give herself a third,agree,agree
415,18740,story of <unknown> <unknown> who <unknown> boko haram attack is a hoax   ,<unknown> at <number> <unknown> <unknown>,screen shot <unknown> at <number> <unknown> <unknown> facebook page in the united states that calls,agree,agree
416,18797,saudi arabia <unknown> <unknown> eyes          ,women to cover their eyes,the men of the committee will interfere to force women to cover their eyes especially,agree,agree
417,18839,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,receive a gold medal and,as per a <unknown> that came out in <number> <unknown> receive a gold medal and,agree,agree
418,18852,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,<unknown> spot in the <unknown>,the <unknown> was walking to his favorite <unknown> spot in the <unknown> republic when the,agree,agree
419,18854,bear attack foiled by justin biebers music a story too good to check  ,biebers song has saved a,justin biebers song has saved a russian man from being <unknown> by a bear ,disagree,disagree
420,18952,scorpion <unknown> delays oregon state flight         ,a scorpion on plane a,woman <unknown> by a scorpion on plane a woman was <unknown> by a scorpion on,agree,agree
421,18993,<unknown> legend leads to jewish <unknown> 's adoption by argentina president    ,the story became <unknown> with,somehow the story became <unknown> with the ancient legend of the <unknown> <unknown> equivalent to,disagree,disagree
422,19016,dear sandwich <unknown> man 's hilarious response to <unknown> sign posted on his office 's,asking for ransom money for,the sandwich <unknown> then came back with a response asking for ransom money for the,agree,agree
423,19033,transgender teenager <number> leaves <unknown> suicide note blaming her christian parents before walking in front,even if you are christian,even if you are christian or are against transgender people dont ever say that to,agree,agree
424,19107,sorry argentina 's president did n't actually <unknown> a jewish <unknown>    ,tradition called el <unknown> a,it seems there is another argentine tradition called el <unknown> a belief that a family,agree,agree
425,19156,twitter messages attributed to lisa <unknown> was hoax manager says     ,lisa <unknown> has no social,lisa <unknown> has no social media of any kind her manager tells people exclusively ,agree,agree
426,19157,teen <unknown> <unknown> wakes up during brain surgery asks how its going   ,asked how the surgery was,while chatting with doctors during the procedure <unknown> reportedly asked how the surgery was going,agree,agree
427,19266,miracle cat <unknown> its way out of its own grave five days after being buried,believe <unknown> may have <unknown>,fox <number> reports that <unknown> tell them they believe <unknown> may have <unknown> consciousness dug,agree,agree
428,19295,<unknown> cat to undergo gender <unknown> surgery        ,newfoundland resident says her daughter,the newfoundland resident says her daughter found <unknown> as a stray and brought her home,agree,agree
429,19387,justin bieber saved this guy from a bear attack      ,that sort of <unknown> isnt,i know that sort of <unknown> isnt to everyones taste but my granddaughter loaded it,agree,agree
430,19388,afghan mother <unknown> <unknown> takes up slain son 's gun to kill taliban attackers ,female family members in a,she joined other female family members in a seven hour gun battle against up to,agree,agree
431,19447,these men <unknown> their <unknown> mothers is the best payback ever    ,a disguise of a <unknown>,the mother wearing a disguise of a <unknown> and sunglasses walks past her <unknown> son,agree,agree
432,19481,korean <unknown> hair sucked up into robot vacuum       ,likelihood of this type accident,the likelihood of this type accident occurring is undoubtedly more significant in countries with a,agree,agree
433,19531,justin bieber <unknown> <unknown> bear saves russian fisherman       ,mobile phone rang the <unknown>,but as the bear <unknown> <unknown> face and back his mobile phone rang the <unknown>,agree,agree
434,19547,<unknown> <unknown> found dead but still makes it to family movie night   ,creative officer of <unknown> <unknown>,the site wrote <unknown> <unknown> founder and chief creative officer of <unknown> <unknown> was found,agree,agree
435,19586,angry passenger tossed off plane after crew wishes him merry christmas    ,off a flight at <unknown>,a man was tossed off a flight at <unknown> this week after he freaked out,agree,agree
436,19642,wife chopped her husband 's penis off after she discovered he had <unknown> on her,happening and found the patient,staff rushed out to see what was happening and found the patient with blood streaming,agree,agree
437,19700,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,became the first jewish <unknown>,<unknown> <unknown> on tuesday became the first jewish <unknown> of a president in <unknown> history,agree,agree
438,19795,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,on his phone and was,<unknown> was able to call for help on his phone and was rescued by fishermen,agree,agree
439,19858,rise of the <unknown> cat pet who was killed and buried by his owner climbed,but he was left <unknown>,but he was left <unknown> when several days later the injured but very alive <unknown>,agree,agree
440,19955,<unknown> <unknown> personal doctor denies taking <unknown> selfie       ,<unknown> personal throat doctor denies,cnn <unknown> <unknown> personal throat doctor denies performing an unauthorized procedure before the comedian suffered,agree,agree
441,20022,justin bieber saves man from bear attack        ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
442,20127,brain surgery recovery teenage girl wakes up during procedure talks about cats   ,<unknown> <unknown> a <unknown> <unknown>,<unknown> <unknown> a <unknown> <unknown> girl woke up while it was happening and gave the,agree,agree
443,20161,<unknown> <unknown> <unknown> <unknown> doctor denies taking selfie       ,lies dr <unknown> <unknown> insists,lies dr <unknown> <unknown> insists reports she took a selfie with <unknown> <unknown> before she,agree,agree
444,20183,a justin bieber <unknown> just saved a mans life who was being attacked by a,<unknown> <unknown> mailonline <unknown> <unknown>,<unknown> <unknown> mailonline <unknown> <unknown> id <number> title fisherman saved from bear attack by justin,agree,agree
445,20193,<unknown> <unknown> woman with three <unknown> denies surgery hoax claims     ,<unknown> <unknown> <number> spent <number>,<unknown> <unknown> <number> spent <number> for the plastic surgery she told an orlando radio station,agree,agree
446,20335,<unknown> to split into two public companies        ,to adapt to the new,shares of the company which has struggled to adapt to the new era of mobile,agree,agree
447,20421,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,humane society where he is,<unknown> at the tampa bay humane society where he is currently being treated believed he,agree,agree
448,20430,tail of survival buried cat believed dead <unknown> back to life    ,<unknown> to beloved <unknown> <unknown>,<unknown> <unknown> thought he 'd said his final <unknown> to beloved <unknown> <unknown> when he,agree,agree
449,20475,five reasons <unknown> is definitely not real        ,hoax is an understatement of,leading <unknown> researcher says a hoax is an understatement of photograph appearing to show a,agree,agree
450,20496,justin bieber helps defend russian fisherman from bear       ,    ,              ,agree,agree
451,20550,us confirms authenticity of second journalist beheading video       ,    ,              ,agree,agree
452,20632,miracle cat <unknown> from the dead five days after burial     ,exists a buried cat <unknown>,a real-life <unknown> cat truly exists a buried cat <unknown> his way out of his,agree,agree
453,20639,cruel aunt cuts off <unknown> <unknown> penis after he walks in on her using the,sister his aunt had gone,my sister his aunt had gone         ,agree,agree
454,20649,fat dictator kim jong-un dying from cheese addiction       ,korean capital pyongyang to mark,kim was spotted limping at a ceremony in the north korean capital pyongyang to mark,agree,agree
455,20659,saudi arabia <unknown> <unknown> eyes          ,journalist in the country suggested,one unnamed journalist in the country suggested it referred to uncovered eyes with a nice,agree,agree
456,20678,woman with three breasts was a fake who has tricked people online before  ,an american news channel <number>,the claims come as an american news channel <number> news revealed <unknown> who goes by,agree,agree
457,20683,man in china recovering in hospital after wife chopped off his penis   ,<unknown> grabbed a pair of,the jilted wife went <unknown> grabbed a pair of scissors stormed into their bedroom and,agree,agree
458,20728,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,his justin bieber <unknown> went,fisherman <unknown> <unknown> is lucky to be alive after his justin bieber <unknown> went off,agree,agree
459,20767,us video showing <unknown> beheading is authentic        ,josh earnest said that he,the white house press secretary josh earnest said that he could not confirm the authenticity,agree,agree
460,20781,rise of the <unknown> cat pet who was killed and buried by his owner climbed,tampa bay region of florida,a cat in the tampa bay region of florida has seemingly risen from the dead,agree,agree
461,20857,wife chops off cheating husbands penis twice        ,<unknown> grabbed a pair of,the jilted wife went <unknown> grabbed a pair of scissors stormed into their bedroom and,agree,agree
462,20904,<unknown> cat is getting gender assignment surgery        ,be both <unknown> and <unknown>,the vet says <unknown> will be both <unknown> and <unknown> before the <unknown> surgery takes,agree,agree
463,21089,lisa <unknown> did not send <unknown> tweet about bill <unknown> twitter account fake  ,such as <unknown> claimed <unknown>,on saturday and sunday numerous websites such as <unknown> claimed <unknown> became the latest person,agree,agree
464,21117,dead cat <unknown> out of grave <number> days later      ,<unknown> will be back home,despite the difficult days ahead the humane society expects that <unknown> will be back home,agree,agree
465,21141,yes were being bought by microsoft         ,    ,              ,agree,agree
466,21143,<unknown> girl <unknown> touching letter to teacher who came out as gay   ,have to feel scared because,you dont have to feel scared because i know that everyone in the class feels,agree,agree
467,21151,how 's it going teenager wakes up during brain surgery and asks doctors for progress,<unknown> and asks the surgeons,teenager wakes up while undergoing brain surgery in <unknown> and asks the surgeons how the,agree,agree
468,21191,children in dog fighting horror          ,supplied <unknown> witnessed the children,<unknown> st <unknown> <number> supplied <unknown> witnessed the children getting down on all <unknown> <unknown>,agree,agree
469,21211,justin bieber <unknown> saved a russian fisherman during a bear attack    ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
470,21217,i am lost for words <unknown> boy billed for missing friends birthday party  ,a joke to begin with,i thought it was a joke to begin with i am lost for words <unknown>,agree,agree
471,21230,<unknown> <unknown> off pc <unknown> businesses         ,co <unknown> <number> on monday,<unknown> co <unknown> <number> on monday said it plans to separate its <unknown> and <unknown>,agree,agree
472,21319,<unknown> woman a fake           ,'s strange look landed her,buzzfeed initially reported the woman 's strange look landed her appearances on inside edition and,agree,agree
473,21432,<unknown> girl probably a hoax because obviously        ,    ,              ,agree,agree
474,21494,argentina president <unknown> jewish <unknown> for first time in country 's history   ,son born to a family,according to tradition in the country the seventh son born to a family turns into,disagree,disagree
475,21503,sandwich <unknown> gets comeuppance in this awesome office note saga     ,colleagues was posted on facebook,the anonymous note between office colleagues was posted on facebook     ,agree,agree
476,21529,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,    ,              ,agree,agree
477,21531,<unknown> writes moving letter to teacher who came out as gay to his class ,to come out to his,the teacher known as mr r decided to come out to his class after learning,agree,agree
478,21572,<unknown> cat awaits a gender <unknown> surgery to become a boy    ,a <unknown> stray cat that,a <unknown> stray cat that was taken in by a family in canada is set,agree,agree
479,21684,woman bit by scorpion on alaska airlines flight is chill as hell   ,a scorpion on plane a,woman <unknown> by a scorpion on plane a woman was <unknown> by a scorpion on,agree,agree
480,21715,cheese addiction breaks kim jong-un 's ankles        ,recovering from surgery after weight,the tubby tyrant is recovering from surgery after weight gain caused him to fracture his,agree,agree
481,21771,argentina 's president just adopted a son so he wo n't turn into a <unknown>,rife in the country that,fear was so rife in the country that families would often give up their <unknown>,agree,agree
482,21785,justin bieber <unknown> saves russian fisherman from bear attack      ,phone started to ring and,but then his cell phone started to ring and the bieber tone installed by his,agree,agree
483,21815,transgender teen <unknown> suicide <unknown> a <unknown> note urging the world to change  ,    ,              ,agree,agree
484,21824,<unknown> lin 's penis stolen by thieves        ,sleeping in this <unknown> when,home <unknown> worker mr lin was sleeping in this <unknown> when the attack took place,agree,agree
485,21942,<unknown> <unknown> personal doctor denies taking <unknown> selfie       ,to the doctor <number> say,sources close to the doctor <number> say reports she took photo are lies  ,agree,agree
486,21952,justin bieber basically saves a russian man from a bear     ,the <unknown> according to local,wildlife experts believe the <unknown> according to local media the singer 's hit baby must,agree,agree
487,21992,a justin bieber <unknown> just saved a mans life who was being attacked by a,and was walking towards the,i had parked my car and was walking towards the spot i 'd marked out,agree,agree
488,22023,man saved from bear attack when his justin bieber ringtones goes off sending bear fleeing,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
489,22033,<unknown> <unknown> doctor denies selfie          ,    ,              ,agree,agree
490,22037,flight delayed due to rampaging scorpion         ,    ,              ,agree,agree
491,22055,grieving afghan mother takes bloody revenge by killing <number> taliban militants during seven hour battle,<unknown> told <unknown> news i,i could n't stop myself and picked up a weapon <unknown> told <unknown> news i,agree,agree
492,22124,finally proof that justin bieber is unbearable russian fisherman saved from bear attack when <unknown>,<unknown> <unknown> <number> was walking,russian man <unknown> <unknown> <number> was walking to his favourite fishing spot when a brown,agree,agree
493,22189,police chief in charge of paris attacks <unknown> suicide      ,a victim on a stretcher,getty firefighters carry a victim on a stretcher at the scene of the charlie hebdo,agree,agree
494,22203,no joke <unknown> billed for missing friends birthday party      ,his <unknown> whom he chose,so where was alex out with his <unknown> whom he chose over the party when,agree,agree
495,22409,ferguson riots pregnant woman loses eye after cops fire bean bag round through car window,cops are crying foul they,but cops are crying foul they say it was <unknown> and lee who were the,agree,agree
496,22444,i will have justice for what they did to me pregnant st louis woman loses,justice for what they did,i will have justice for what they did to me <unknown> wrote on facebook thursday,agree,agree
497,22480,five-year-old boy gets a bill for missing school friend 's birthday party   ,is all but impossible that,it is all but impossible that ms lawrence will be able to recover the <number>,agree,agree
498,22517,<unknown> teen dies by suicide leaves <unknown> note there 's no way out  ,had published a note hours,however the teen had published a note hours before her death on her <unknown> account,agree,agree
499,22533,<unknown> kills mate because he has a small penis      ,found dead and <unknown> ,however two days later her mate was found dead and <unknown>    ,agree,agree
500,22599,woman has third <unknown> <unknown>          ,<unknown> of breasts in the,we decided to look at the three most statistically unlikely <unknown> of breasts in the,agree,agree
501,22684,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,on the first friday after,the <unknown> creature shows its true nature on the first friday after boys <unknown> birthday,agree,agree
502,22938,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,<unknown> <unknown> walked in on,innocent <unknown> <unknown> walked in on his aunt as she was sending messages to her,agree,agree
503,22965,<unknown> the intersex cat to get gender assignment       ,to sex allegations under <unknown>,more prince andrew asked to respond to sex allegations under <unknown>    ,agree,agree
504,23164,transgender teen who committed suicide left <unknown> note saying she would never be happy ,immediately told my mom and,she wrote i immediately told my mom and she reacted extremely negatively telling me that,agree,agree
505,23167,<unknown> is planning to split into two separate businesses      ,be given a stake in,<unknown> will be given a stake in both businesses      ,agree,agree
506,23193,justin bieber <unknown> saved a russian fisherman during a bear attack    ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
507,23210,robot vacuum cleaner ate a woman 's hair google translate     ,startled <unknown> called <number> koreas,the startled <unknown> called <number> koreas emergency telephone number fortunately paramedics quickly arrived at the,agree,agree
508,23234,korean <unknown> attacked by robot vacuum cleaner        ,up being the victim of,instead the <unknown> resident of <unknown> city ended up being the victim of what many,agree,agree
509,23322,i will have justice for what they did to me pregnant st louis woman loses,    ,              ,agree,agree
510,23409,children used to replace fighting dogs         ,used they are like <unknown>,these children are being used they are like <unknown> in a machine im sure some,agree,agree
511,23436,boy <number> billed with no show fee for missing friend 's birthday party  ,<unknown> no one likes getting,<unknown> no one likes getting bills but one bill in particular has a family in,agree,agree
512,23455,parents billed <number> for a <unknown> fee after five-year-old son misses birthday party  ,is all but impossible that,it is all but impossible that ms lawrence will be able to recover the <number>,agree,agree
513,23497,saudi arabian airline to separate <unknown> after men complain about blokes sitting next to their,    ,              ,agree,agree
514,23579,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,    ,              ,agree,agree
515,23637,<unknown> cat named <unknown> to get gender <unknown>       ,both male and female genitalia,the cat has both male and female genitalia       ,agree,agree
516,23668,woman bit by scorpion on alaska airlines flight is chill as hell   ,aboard the plane saturday night,reached by phone aboard the plane saturday night before the team took off for oregon,agree,agree
517,23704,this <unknown> cat returned home five days after being buried by its owner  ,bay released a statement to,the human society of tampa bay released a statement to abc explaining what happened to,agree,agree
518,23784,boy <number> given <number> <unknown> for missing friend 's birthday party    ,is all but impossible that,it is all but impossible that ms lawrence will be able to recover the <number>,agree,agree
519,23791,president of argentina <unknown> jewish boy to stop him turning into <unknown>   ,jewish man as her <unknown>,the president of argentina has adopted a young jewish man as her <unknown> to stop,agree,agree
520,23821,office sandwich <unknown> is caught after hilarious note war reaches <unknown> <unknown>   ,a colleague to stop <unknown>,a frustrated office worker 's request to a colleague to stop <unknown> their lunch from,agree,agree
521,23877,wife chops off cheating husbands penis twice        ,<unknown> grabbed a pair of,the jilted wife went <unknown> grabbed a pair of scissors stormed into their bedroom and,agree,agree
522,24007,<unknown> eyes ban saudi women with pretty eyes made to cover them up  ,journalist in the country suggested,one unnamed journalist in the country suggested it referred to uncovered eyes with a nice,agree,agree
523,24064,transgender teen who committed suicide left <unknown> note saying she would never be happy ,go live on her <unknown>,she had scheduled the post to to go live on her <unknown> account before she,agree,agree
524,24081,i never intended to kill his penis i was just angry <unknown> acid attack girl,happened in a <unknown> of,everything happened in a <unknown> of an eye because i saw her when she was,agree,agree
525,24083,<unknown> blasts fake report alleging she was abused by bill <unknown> keep me out of,the news that <unknown> <unknown>,<unknown> paint shared the news that <unknown> <unknown> is revealing that bill <unknown> molested her,agree,agree
526,24153,angry indian bride <unknown> wedding guest         ,<unknown> ceremony where the <unknown>,but once the <unknown> ceremony where the <unknown> <unknown> his wife to be started the,agree,agree
527,24155,even though you 're gay i will always treat you the same way as i,to come out to his,the teacher known as mr r decided to come out to his class after learning,agree,agree
528,24173,these men freak out when they discover the women they are harassing are their <unknown>,streets of <unknown> <unknown> men,<number> out of <number> women are sexually harassed on the streets of <unknown> <unknown> men,agree,agree
529,24196,scorpion <unknown> woman on <unknown> plane         ,<unknown> <unknown> today sports oregon,<unknown> tinkle <unknown> <unknown> today sports oregon state coach wayne tinkle said a woman sitting,agree,agree
530,24220,<unknown> woman a fake           ,<unknown> <unknown> contacted over <number>,<unknown> <unknown> contacted over <number> doctors before she found a <unknown> who was willing to,disagree,disagree
531,24242,office sandwich <unknown> is caught after hilarious note war reaches <unknown> <unknown>   ,turkey and swiss on <unknown>,the stand-off between an office worker known only as turkey and swiss on <unknown> and,agree,agree
532,24249,<unknown> is planning to split into two separate businesses      ,of the past year <unknown>,the journal recently reported that for much of the past year <unknown> held talks to,agree,agree
533,24294,justin bieber <unknown> <unknown> bear saves russian fisherman       ,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
534,24371,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,<unknown> around his face and,<unknown> suffered several cuts and large <unknown> around his face and chest and is currently,agree,agree
535,24385,boy <number> billed with no show fee for missing friend 's birthday party  ,partner <unknown> walsh discovered the,derek <unknown> and his partner <unknown> walsh discovered the <number> no show fee <unknown> after,agree,agree
536,24414,woman <unknown> by scorpion on alaska airlines flight       ,    ,              ,agree,agree
537,24458,miracle cat <unknown> from the dead five days after burial     ,the cat alive but in,five days later neighbors found the cat alive but in terrible condition wandering through their,agree,agree
538,24538,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,<unknown> <unknown> <unknown> me <unknown>,y a <unknown> que <unknown> el <unknown> un <unknown> <unknown> <unknown> <unknown> me <unknown> que,agree,agree
539,24555,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,    ,              ,agree,agree
540,24582,justin bieber <unknown> saves russian fisherman from bear attack      ,and was walking towards the,i had parked my car and was walking towards the spot i 'd marked out,agree,agree
541,24598,new twist charlie hebdo police investigator turns up dead <unknown>     ,an article on <unknown> palestinians,according to an article on <unknown> palestinians blog       ,agree,agree
542,24612,<unknown> cat named <unknown> to get gender <unknown>       ,<unknown> <unknown> with <number> teeth,<unknown> <unknown> with <number> teeth caught off <unknown> <unknown> say when they talk to each,agree,agree
543,24623,<unknown> <unknown> the woman with three breasts        ,<number> to have a third,<unknown> reportedly spent <number> to have a third <unknown> the procedure was done a few,agree,agree
544,24677,this <unknown> cat returned home five days after being buried by its owner  ,back to life not five,this doesnt happen cats dont just come back to life not five days after theyve,agree,agree
545,24736,argentina 's president just adopted a son so he wo n't turn into a <unknown>,as a boy but the,many media reports described <unknown> as a boy but the guardian said he 's <number>,agree,agree
546,24748,president of argentina <unknown> jewish boy to stop him turning into <unknown>   ,<unknown> they lit for <unknown>,the family met with <unknown> and presented her with a <unknown> they lit for <unknown>,agree,agree
547,24773,a justin bieber <unknown> just saved a mans life who was being attacked by a,<unknown> <unknown> from severe <unknown>,<unknown> <unknown> from severe <unknown> on his chest and face and cuts on his neck,agree,agree
548,24790,canadian cat <unknown> to undergo gender <unknown> surgery after it is revealed to be a,originally appeared on newser <unknown>,this article originally appeared on newser <unknown> cat getting gender assignment surgery   ,agree,agree
549,24871,<unknown> to split into two companies         ,to adapt to the new,shares of the company which has struggled to adapt to the new era of mobile,agree,agree
550,24951,airline passenger freaks out over crew 's merry christmas greeting     ,<unknown> before <unknown> the attendants,dont say merry christmas the man <unknown> before <unknown> the attendants and the pilot about,agree,agree
551,24977,pregnant ferguson woman loses her eye after police shoot her car with bean bag during,    ,              ,agree,agree
552,25007,the story of the <unknown> lady is as fake as her third <unknown>  ,    ,              ,agree,agree
553,25101,wife chops off cheating husbands penis twice then stray animal <unknown> it   ,<unknown> off with a pair,the <unknown> <unknown> and joy was <unknown> off with a pair of scissors as he,agree,agree
554,25146,<unknown> <unknown> <unknown> <unknown> doctor denies taking selfie       ,    ,              ,agree,agree
555,25148,trump supported <unknown> in french election         ,my great honor to be,it is my great honor to be with the newly elected president of france who,agree,agree
556,25150,madonna offered <unknown> sex to clinton voters        ,if you vote for <unknown>,if you vote for <unknown> clinton madonna told the crowd at madison square garden i,agree,agree
557,25151,madonna offered <unknown> sex to clinton voters        ,<unknown> im not a tool,i not a <unknown> im not a tool i take my time she continued much,agree,agree
558,25152,madonna offered <unknown> sex to clinton voters        ,time with the act and,madonna <unknown> that she would take my time with the act and further commented on,agree,agree
559,25172,<unknown> proposed <unknown> communication with russians         ,it also emerged mr <unknown>,it also emerged mr <unknown> had at least three interactions including two phone calls with,agree,agree
560,25184,genetically modified foods are <unknown> to health        ,<unknown> of these environmental <unknown>,given the potential <unknown> of these environmental <unknown> and the <unknown> of the fetus more,agree,agree
561,25188,seth rich leaked clinton emails to <unknown>        ,family has been sensitive to,the family has been sensitive to speculation that rich could have leaked emails damaging to,agree,agree
562,25192,climate change is a hoax          ,<unknown> is above national <unknown>,ive been told that <unknown> is above national <unknown> freedom of information acts one way,agree,agree
563,25193,climate change is a hoax          ,<unknown> released its <unknown> <unknown>,when <unknown> released its <unknown> <unknown> finding in <number> it used three lines of evidence,agree,agree
